BSNS_NO,FCLTY_NM,ITEM_CD,ITEM_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,FCLTY_ADDR,FCLTY_DETAIL_ADDR,ZIP_NO,TEL_NO,COURSE_NM,COURSE_NO,COURSE_ESTBL_YEAR,COURSE_ESTBL_MT,COURSE_BEGIN_DE,COURSE_END_DE,COURSE_REQST_NMPR_CO,COURSE_PRC
2219083365,케이지알태권도장,22,태권도,51,강원,51110,춘천시,강원 춘천시 석사동 684~827,석사동704번지2층,20093,0332644800,태권도,2308523,2024,09,20240901,20240930,2,100000.00000
2219083365,케이지알태권도장,22,태권도,51,강원,51110,춘천시,강원 춘천시 석사동 684~827,석사동704번지2층,20093,0332644800,태권도,9143,2024,09,20240901,20240930,4,100000.00000
2219083365,케이지알태권도장,22,태권도,51,강원,51110,춘천시,강원 춘천시 석사동 684~827,석사동704번지2층,20093,0332644800,태권도,2308523,2024,10,20241001,20241031,2,100000.00000
2219083365,케이지알태권도장,22,태권도,51,강원,51110,춘천시,강원 춘천시 석사동 684~827,석사동704번지2층,20093,0332644800,태권도,9143,2024,10,20241001,20241031,4,100000.00000
2249109094,한국태권도,22,태권도,51,강원,51130,원주시,강원 원주시 봉산동 삼익아파트,68  상가2층 206호,22078,0337466379,태권도수업,2316620,2024,09,20240901,20240930,6,100000.00000
2249109094,한국태권도,22,태권도,51,강원,51130,원주시,강원 원주시 봉산동 삼익아파트,68  상가2층 206호,22078,0337466379,태권도수업,2316620,2024,10,20241001,20241031,6,100000.00000
2259017116,보성체육관,22,태권도,51,강원,51770,정선군,강원 정선군 사북읍 사북리 선명상가3층,,23390,,태권도,1091460,2024,09,20240901,20240930,6,100000.00000
2259017116,보성체육관,22,태권도,51,강원,51770,정선군,강원 정선군 사북읍 사북리 선명상가3층,,23390,,태권도,1091460,2024,10,20241001,20241031,6,100000.00000
3019142352,혜성태권도,22,태권도,43,충북,43110,청주시,충북 청주시 상당구 율량동 1201~1500,1300번지  혜성태권도,36082,0432111353,태권도,38038,2024,09,20240901,20240930,13,100000.00000
3019142352,혜성태권도,22,태권도,43,충북,43110,청주시,충북 청주시 상당구 율량동 1201~1500,1300번지  혜성태권도,36082,0432111353,태권도,38038,2024,10,20241001,20241031,12,100000.00000
3129126949,용인대 학사 태권도장,22,태권도,44,충남,44200,아산시,충남 아산시 장존동 청솔아파트,청솔 아파트 단지내 상가4층 [용인대 학사 태권도장],33678,0415346760,태권도,13212,2024,09,20240901,20240930,10,100000.00000
3129155027,용화태권도,22,태권도,44,충남,44200,아산시,충남 아산시 용화동 온천마을,584 온천마을아파트 상가내203호,33650,,태권도,2339553,2024,09,20240901,20240930,21,100000.00000
3129155027,용화태권도,22,태권도,44,충남,44200,아산시,충남 아산시 용화동 온천마을,584 온천마을아파트 상가내203호,33650,,태권도,2339553,2024,10,20241001,20241031,16,100000.00000
3129170111,합기도아산연무관,75,합기도,44,충남,44200,아산시,충남 아산시 좌구동,초원아파트3차상가 3층,33604,0415333307,합기도,1194460,2024,10,20241001,20241031,5,100000.00000
3129170111,합기도아산연무관,75,합기도,44,충남,44200,아산시,충남 아산시 좌구동,초원아파트3차상가 3층,33604,0415333307,합기도,1194460,2024,11,20241101,20241130,5,100000.00000
3139026339,크로바체육관,22,태권도,44,충남,44770,서천군,충남 서천군 서천읍 군사1리,860-4,32580,,태권도,1506525,2024,09,20240901,20240930,2,100000.00000
3139026339,크로바체육관,22,태권도,44,충남,44770,서천군,충남 서천군 서천읍 군사1리,860-4,32580,,태권도,1506525,2024,10,20241001,20241031,2,100000.00000
3148207247,한밭수영장,12,수영,30,대전,30140,중구,대전 중구 부사동 1~219,한밭수영장,30181,0426104914,수영,2933524,2024,09,20240901,20240930,0,39000.00000
3148207247,한밭수영장,12,수영,30,대전,30140,중구,대전 중구 부사동 1~219,한밭수영장,30181,0426104914,수영,2933524,2024,10,20241001,20241031,1,39000.00000
3149202595,우솔태권도,22,태권도,30,대전,30170,서구,대전 서구 가수원동 계룡아파트상가,643번지,30276,0425442659,우솔태권도,168160,2024,09,20240901,20240930,13,100000.00000
